City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Hobyo,SO,80.6,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
18,Petatlan,MX,89.4,few clouds,17.5167,-101.2667,Hotel California Petatlán
24,Arlit,NE,84.38,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
27,Hirara,JP,76.73,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
32,Lazaro Cardenas,MX,84.24,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
36,Puerto Ayora,EC,75.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Sawakin,SD,83.53,scattered clouds,19.1059,37.3321,فندق الدويم
38,Veraval,IN,78.8,clear sky,20.9,70.3667,Lords Inn Somnath
42,Atuona,PF,77.38,broken clouds,-9.8,-139.0333,Villa Enata
47,Mocuba,MZ,75.51,overcast clouds,-16.8392,36.9856,Phama Lodge
49,Ranong,TH,76.08,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
53,Mar Del Plata,AR,80.83,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Champerico,GT,88.34,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
65,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Oistins,BB,81.19,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
71,Vila Velha,BR,78.94,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
78,Guaruja,BR,76.84,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
81,Porto Novo,BJ,82.26,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
85,Alofi,NU,76.03,broken clouds,-19.0595,-169.9187,Taloa Heights
86,Paso De Los Toros,UY,76.08,broken clouds,-32.8167,-56.5167,Complejo Isabelino
88,Makakilo City,US,75.52,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
96,Necochea,AR,81.25,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
100,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
109,Labuhan,ID,80.96,overcast clouds,-6.8844,112.2051,DoubleFAG
110,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
118,Banjar,ID,77.22,overcast clouds,-8.19,114.9675,The Hamsa Resort
119,Taoudenni,ML,86.34,broken clouds,22.6783,-3.9836,
120,Kavieng,PG,82.35,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
122,Sao Filipe,CV,79.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
123,Chambar,PK,79.7,clear sky,25.2931,68.812,RIZWAN COMMUNICATION CHAMBER
124,Tautira,PF,76.59,light rain,-17.7333,-149.15,Pension Oaoa
126,Dingle,PH,76.93,light rain,10.9995,122.6711,SEGAYA PROPERTY
131,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
136,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
