City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-11-09 03:01:47,-46.1927,168.8643,56.5,75,96,9.26
1,Hilo,US,2022-11-09 03:01:47,19.7297,-155.09,74.25,90,100,4.61
2,Ushuaia,AR,2022-11-09 03:01:47,-54.8,-68.3,38.66,96,46,5.75
3,Ribeira Grande,PT,2022-11-09 03:01:48,38.5167,-28.7,65.77,85,89,8.01
4,Marzuq,YE,2022-11-09 03:01:48,14.4,46.4667,63.05,51,3,4.32
5,Sao Filipe,CV,2022-11-09 03:01:49,14.8961,-24.4956,77.67,68,71,9.8
6,Bengkulu,ID,2022-11-09 03:01:49,-3.8004,102.2655,81.75,72,100,2.48
7,Rikitea,PF,2022-11-09 03:01:49,-23.1203,-134.9692,75.56,88,94,13.47
8,Ponoarele,RO,2022-11-09 03:01:50,44.9739,22.7644,47.35,92,3,3.24
9,Hermanus,ZA,2022-11-09 03:01:50,-34.4187,19.2345,52.81,79,9,12.35
10,Torbay,CA,2022-11-09 03:01:51,47.6666,-52.7314,39.76,79,100,5.99
11,Alice Springs,AU,2022-11-09 03:00:49,-23.7,133.8833,94.55,17,36,14.97
12,Vila Franca Do Campo,PT,2022-11-09 03:01:51,37.7167,-25.4333,64.81,83,36,7.4
13,Atuona,PF,2022-11-09 03:01:52,-9.8,-139.0333,77.22,72,12,13.8
14,Hami,CN,2022-11-09 03:01:52,42.8,93.45,51.87,25,11,4.36
15,Husavik,IS,2022-11-09 03:01:52,66.0449,-17.3389,40.1,97,100,11.97
16,Boyabat,TR,2022-11-09 03:01:53,41.4689,34.7667,51.55,83,100,1.92
17,Mar Del Plata,AR,2022-11-09 03:01:53,-38.0023,-57.5575,60.94,84,61,25.99
18,Iqaluit,CA,2022-11-09 03:00:14,63.7506,-68.5145,16.7,85,100,3.0
19,Padang,ID,2022-11-09 03:01:54,-0.9492,100.3543,84.25,78,100,3.11
20,San Ramon,US,2022-11-09 02:57:39,37.7799,-121.978,50.34,84,44,1.01
21,Vaini,TO,2022-11-09 03:01:54,-21.2,-175.2,76.35,78,97,18.61
22,Mopti,ML,2022-11-09 03:01:54,14.6667,-4.0,73.56,14,4,5.79
23,Fortuna,US,2022-11-09 03:01:55,40.5982,-124.1573,45.66,95,100,3.44
24,Mahon,ES,2022-11-09 03:01:56,39.8885,4.2658,68.56,88,75,9.22
25,Carutapera,BR,2022-11-09 03:01:56,-1.195,-46.02,74.97,88,98,4.29
26,Paamiut,GL,2022-11-09 03:01:57,61.994,-49.6678,15.08,65,65,6.96
27,Cabo San Lucas,MX,2022-11-09 02:58:06,22.8909,-109.9124,74.52,72,1,8.01
28,Kurumkan,RU,2022-11-09 03:01:57,54.3,110.3,20.86,71,15,1.97
29,Busselton,AU,2022-11-09 02:57:15,-33.65,115.3333,68.99,50,16,12.62
30,Khani,GE,2022-11-09 03:01:58,41.9563,42.9566,44.17,76,99,2.53
31,Saint-Philippe,RE,2022-11-09 03:01:58,-21.3585,55.7679,72.99,74,24,7.31
32,Udachnyy,RU,2022-11-09 03:01:58,66.4167,112.4,-1.53,97,96,7.49
33,Puerto Ayora,EC,2022-11-09 03:01:59,-0.7393,-90.3518,67.55,84,63,4.0
34,Chuy,UY,2022-11-09 03:01:59,-33.6971,-53.4616,55.89,88,0,5.84
35,Hobart,AU,2022-11-09 03:01:59,-42.8794,147.3294,82.22,63,20,11.5
36,Tasiilaq,GL,2022-11-09 03:02:00,65.6145,-37.6368,33.96,96,100,9.57
37,Epe,NG,2022-11-09 03:02:00,6.5841,3.9834,76.21,92,39,3.29
38,Dikson,RU,2022-11-09 03:02:00,73.5069,80.5464,8.44,93,94,7.31
39,Susanville,US,2022-11-09 03:02:01,40.4163,-120.653,34.81,96,100,1.01
40,Nehe,CN,2022-11-09 03:02:01,48.4833,124.8333,41.54,33,68,14.81
41,Tuktoyaktuk,CA,2022-11-09 03:02:01,69.4541,-133.0374,15.22,88,100,6.93
42,Anadyr,RU,2022-11-09 03:03:02,64.75,177.4833,19.9,86,75,6.71
43,Ivancice,CZ,2022-11-09 03:03:02,49.1014,16.3775,50.85,97,100,10.36
44,Butaritari,KI,2022-11-09 03:03:03,3.0707,172.7902,81.19,76,22,9.93
45,Cape Town,ZA,2022-11-09 03:00:22,-33.9258,18.4232,65.37,78,67,1.99
46,Albany,US,2022-11-09 03:00:15,42.6001,-73.9662,38.35,62,2,3.62
47,Vestmanna,FO,2022-11-09 03:03:03,62.1564,-7.1664,47.32,93,75,12.66
48,Jamestown,US,2022-11-09 03:03:04,42.097,-79.2353,38.84,72,0,9.22
49,Laguna,US,2022-11-09 03:03:04,38.421,-121.4238,50.14,84,100,6.91
50,Haines Junction,CA,2022-11-09 03:03:05,60.7522,-137.5108,8.56,94,9,1.23
51,Suruc,TR,2022-11-09 03:03:05,36.9761,38.425,55.58,67,100,6.29
52,Bredasdorp,ZA,2022-11-09 03:03:06,-34.5322,20.0403,54.68,82,10,7.43
53,Gueret,FR,2022-11-09 03:03:06,46.1667,1.8667,52.34,96,99,4.76
54,Bodrum,TR,2022-11-09 03:03:07,37.0383,27.4292,60.28,57,2,8.7
55,Kharp,RU,2022-11-09 03:03:07,66.8014,65.8081,17.67,97,99,3.69
56,Kapaa,US,2022-11-09 03:03:08,22.0752,-159.319,82.38,71,40,13.8
57,Hithadhoo,MV,2022-11-09 03:03:08,-0.6,73.0833,81.5,78,100,17.0
58,Gushikawa,JP,2022-11-09 03:03:08,26.3544,127.8686,80.19,81,75,14.97
59,Namatanai,PG,2022-11-09 03:03:09,-3.6667,152.4333,85.48,70,97,8.68
60,Provideniya,RU,2022-11-09 03:03:09,64.3833,-173.3,30.36,80,100,15.99
61,Vityazevo,RU,2022-11-09 03:03:10,44.9931,37.2719,41.43,93,40,7.0
62,Boyolangu,ID,2022-11-09 03:03:10,-8.1181,111.8935,80.17,79,100,0.81
63,Djambala,CG,2022-11-09 03:03:11,-2.5447,14.7533,66.6,95,100,4.34
64,Aklavik,CA,2022-11-09 03:03:11,68.2191,-135.0107,17.8,89,100,4.07
65,Hasaki,JP,2022-11-09 03:03:11,35.7333,140.8333,70.29,46,35,2.98
66,Bambous Virieux,MU,2022-11-09 03:03:12,-20.3428,57.7575,74.21,68,71,11.9
67,Yellowknife,CA,2022-11-09 03:03:12,62.456,-114.3525,14.56,78,100,11.01
68,Constitucion,CL,2022-11-09 03:00:57,-35.3333,-72.4167,53.11,95,91,3.51
69,Hobyo,SO,2022-11-09 03:03:13,5.3505,48.5268,79.47,75,15,6.33
70,Smithers,CA,2022-11-09 03:03:13,54.7804,-127.1743,12.36,84,100,1.86
71,Byron Bay,AU,2022-11-09 03:02:11,-28.65,153.6167,72.72,56,41,13.24
72,Esperance,AU,2022-11-09 03:03:14,-33.8667,121.9,61.5,69,100,11.95
73,Cozumel,MX,2022-11-09 03:01:38,20.5083,-86.9458,80.08,79,9,8.01
74,Ileza,RU,2022-11-09 03:03:14,61.0533,43.9002,34.68,98,100,5.75
75,Yangshe,CN,2022-11-09 03:03:15,31.8899,120.6052,70.0,86,22,3.0
76,Chapais,CA,2022-11-09 03:03:15,49.7834,-74.8492,23.76,89,68,3.24
77,Sidney,AU,2022-11-09 03:00:16,-33.8679,151.2073,75.61,57,0,19.57
